AÑO,MES,IPC
2010,Enero,96.11
2010,Febrero,96.53
2010,Marzo,97.64
2010,Abril,97.55
2010,Mayo,97.45
2010,Junio,97.94
2010,Julio,98.30
2010,Agosto,98.35
2010,Septiembre,98.63
2010,Octubre,99.15
2010,Noviembre,99.92
2010,Diciembre,100.00
2011,Enero,100.82
2011,Febrero,101.58
2011,Marzo,102.52
2011,Abril,103.17
2011,Mayo,103.68
2011,Junio,104.23
2011,Julio,105.22
2011,Agosto,105.85
2011,Septiembre,105.78
2011,Octubre,105.74
2011,Noviembre,105.97
2011,Diciembre,106.20
2012,Enero,106.30
2012,Febrero,106.83
2012,Marzo,107.18
2012,Abril,107.58
2012,Mayo,107.72
2012,Junio,107.85
2012,Julio,108.23
2012,Agosto,108.72
2012,Septiembre,109.25
2012,Octubre,109.28
2012,Noviembre,109.27
2012,Diciembre,109.86
2013,Enero,110.40
2013,Febrero,111.30
2013,Marzo,111.83
2013,Abril,112.02
2013,Mayo,112.32
2013,Junio,113.02
2013,Julio,113.36
2013,Agosto,113.52
2013,Septiembre,113.85
2013,Octubre,113.82
2013,Noviembre,114.33
2013,Diciembre,114.68
2014,Enero,114.97
2014,Febrero,115.20
2014,Marzo,115.46
2014,Abril,115.68
2014,Mayo,115.94
2014,Junio,116.56
2014,Julio,117.23
2014,Agosto,117.72
2014,Septiembre,117.78
2014,Octubre,117.96
2014,Noviembre,118.19
2014,Diciembre,118.06
2015,Enero,117.64
2015,Febrero,118.01
2015,Marzo,118.26
2015,Abril,118.66
2015,Mayo,118.90
2015,Junio,119.34
2015,Julio,119.95
2015,Agosto,120.03
2015,Septiembre,119.99
2015,Octubre,120.59
2015,Noviembre,121.16
2015,Diciembre,121.68
2016,Enero,122.79
2016,Febrero,123.05
2016,Marzo,123.30
2016,Abril,123.51
2016,Mayo,124.08
2016,Junio,124.63
2016,Julio,125.49
2016,Agosto,125.72
2016,Septiembre,125.46
2016,Octubre,126.33
2016,Noviembre,126.82
2016,Diciembre,126.83
2017,Enero,127.49
2017,Febrero,127.92
2017,Marzo,128.23
2017,Abril,128.56
2017,Mayo,128.96
2017,Junio,130.07
2017,Julio,132.04
2017,Agosto,131.65
2017,Septiembre,130.93
2017,Octubre,131.64
2017,Noviembre,132.77
2017,Diciembre,134.03
2018,Enero,133.50
2018,Febrero,133.23
2018,Marzo,133.54
2018,Abril,133.60
2018,Mayo,134.23
2018,Junio,135.00
2018,Julio,135.48
2018,Agosto,136.08
2018,Septiembre,136.89
2018,Octubre,137.35
2018,Noviembre,136.95
2018,Diciembre,137.13
2019,Enero,138.98
2019,Febrero,139.17
2019,Marzo,139.11
2019,Abril,139.95
2019,Mayo,140.32
2019,Junio,141.48
2019,Julio,141.40
2019,Agosto,140.18
2019,Septiembre,139.36
2019,Octubre,140.33
2019,Noviembre,140.95
2019,Diciembre,141.80
2020,Enero,141.46
2020,Febrero,140.89
2020,Marzo,141.57
2020,Abril,142.58
2020,Mayo,142.85
2020,Junio,144.86
2020,Julio,145.47
2020,Agosto,146.05
2020,Septiembre,146.28
2020,Octubre,147.83
2020,Noviembre,148.65
2020,Diciembre,148.64
2021,Enero,148.87
2021,Febrero,149.34
2021,Marzo,149.84
2021,Abril,150.00
2021,Mayo,150.24
2021,Junio,150.52
2021,Julio,151.02
2021,Agosto,151.33
2021,Septiembre,151.65
2021,Octubre,152.20
2021,Noviembre,152.94
2021,Diciembre,153.20
2022,Enero,153.14
2022,Febrero,153.79
2022,Marzo,156.09
2022,Abril,156.93
2022,Mayo,158.98
2022,Junio,161.89
2022,Julio,163.64
2022,Agosto,164.76
2022,Septiembre,165.35
2022,Octubre,166.97
2022,Noviembre,166.96
2022,Diciembre,167.35
2023,Enero,167.98
2023,Febrero,169.05
2023,Marzo,169.69
2023,Abril,169.98
2023,Mayo,169.37
2023,Junio,169.87
2023,Julio,171.06
2023,Agosto,172.13
2023,Septiembre,173.10
2023,Octubre,175.29
2023,Noviembre,174.14
2023,Diciembre,174.34
